video_id,video_title,channel,views,video_likes,comment,comment_likes,reply_1,reply_1_likes
GJPPMk0AyQM,김건희 사과는 윤석열 지지율 하락을 왜 못 막았을까[#논썰 ｜EP.65],한겨레TV,514764,25908,"김건희 
너가 악마가 되어있잖아요 가 아니라
너는 정말 진짜 악마야
많은 불법을 저지러고도 뻔뻔한 변명만 늘어놓는 ㅋㅋㅋ 
참 뻔뻔하다",1,,
GJPPMk0AyQM,김건희 사과는 윤석열 지지율 하락을 왜 못 막았을까[#논썰 ｜EP.65],한겨레TV,514764,25908,"김건희 거짓 쇼은 하지마라
속이 다 들아난 멍청한 ㅋㅋㅋ
차라리 가만 있어야했다
역시 싸기꾼의 딸 답군요 그 엄마에 그 딸이다 갈수록 닮아가는군 ㅋㅋㅋ",1,,
IbJzFSStrx8,"홍준표에 쫓기는 윤석열, 페이스 메이커될까? [예언해줌 클립]",한겨레TV,16905,288,홍준표 따라갈 사람이 없음.,65,,
IbJzFSStrx8,"홍준표에 쫓기는 윤석열, 페이스 메이커될까? [예언해줌 클립]",한겨레TV,16905,288,무야홍~~~~ 응원합니다~~~~~ 대한민국을 바꿔주십시요 거짓말 안하고 바른말만 하는 말이 거칠고 투박한 홍준표님,61,,
IbJzFSStrx8,"홍준표에 쫓기는 윤석열, 페이스 메이커될까? [예언해줌 클립]",한겨레TV,16905,288,진짜 맨날 틀리는 평론가 분들 근데 홍준표의원님이랑 3:1해도 토론 지실거 같은데 무야홍 바람이 불어서 바뀔것입니다,44,,
IYeTGkXvU-E,검찰은 왜 잘못이 드러나도 사과하지 않을까 #shorts,한겨레TV,3810,194,역시 최강욱 대표님 차기 대통령으로 가즈아👍💙이리 멋진 대통령님  필요 합니다.굿 .👍💙,5,,
IYeTGkXvU-E,검찰은 왜 잘못이 드러나도 사과하지 않을까 #shorts,한겨레TV,3810,194,논썰 해당 영상 링크입니다   https://youtu.be/GJPPMk0AyQM,4,,
IYeTGkXvU-E,검찰은 왜 잘못이 드러나도 사과하지 않을까 #shorts,한겨레TV,3810,194,존나카리스마있는 최강욱♡,3,,
NhfxHgVKCSU,자중지란에 난파 직전 윤석열 선대위 쇄신 가능할까? [예언해줌],한겨레TV,56067,2367,조국 때 검찰 기레기들 날뛰는 꼴 보기 싫어 끊었던 뉴스를 다시 보기 시작했습니다. 검찰 언론 개혁 갑시다~,40,,
NhfxHgVKCSU,자중지란에 난파 직전 윤석열 선대위 쇄신 가능할까? [예언해줌],한겨레TV,56067,2367,영감종인은 시키는대로 연기하라는 더런짓거리나 가르칠 생각말라. 대국민사기를 치려고 공개적으로 연기를하라고하는거니? 미친거아닌가?,25,,
NhfxHgVKCSU,자중지란에 난파 직전 윤석열 선대위 쇄신 가능할까? [예언해줌],한겨레TV,56067,2367,돌머리가 연기한다고 크리스탈머리가 되는고? ㅋ습관성대국민사기집단아~~,23,,
lvz6TSNzaUA,"‘당심-민심 괴리’ 봉착한 윤석열, ‘고·윤·주 리스크’ 어쩌나 [#논썰｜EP.57]",한겨레TV,292311,12582,"손원재 기자님께  
열열한 응원과 지지를 보납니다,
진실은 절대 녹슬지 않습니다  정의는 목숨을  대신합니다, 그렇게 민주는 싹트고 의롭게,나아가는  것 이라  생각 합니다.",2,,
lvz6TSNzaUA,"‘당심-민심 괴리’ 봉착한 윤석열, ‘고·윤·주 리스크’ 어쩌나 [#논썰｜EP.57]",한겨레TV,292311,12582,"미친놈이 미친짖하는게 뭐가 잘못일까요?
석열아,
선거끝나면 감옥갈 채비 하야지~~~",1,,
lvz6TSNzaUA,"‘당심-민심 괴리’ 봉착한 윤석열, ‘고·윤·주 리스크’ 어쩌나 [#논썰｜EP.57]",한겨레TV,292311,12582,"518광주만피해본게아니다
전국민피해자다",1,,
gyr2UwbRlpE,이준석 패싱? 중대 결심?... 이재명 ‘조카 변호’ 논란 [예언해줌],한겨레TV,47338,1724,본부장 비리 언론은 왜 밝히지 않나 국민을 속이려 들지마라,35,,
gyr2UwbRlpE,이준석 패싱? 중대 결심?... 이재명 ‘조카 변호’ 논란 [예언해줌],한겨레TV,47338,1724,살인자를 치료하면 살인의사냐,25,,
